Código do Município,Município,Mês/ano,Estoque_mar,Estoque_abri,Estoque_diff,Admissões_mar,Admissões_abri,Admissões_diff,Desligamentos_mar,Desligamentos_abri,Desligamentos_diff,Saldos_mar,Saldos_abri,Saldos_diff
230020,Acarau,08/2022,2898,3066,168,78,79,1,131,131,0,-53,-52,1
230020,Acarau,08/2023,3077,3245,168,95,96,1,83,84,1,12,12,0
230020,Acarau,08/2024,3120,3301,181,66,66,0,65,66,1,1,0,-1
230020,Acarau,08/2025,3289,3469,180,144,144,0,83,85,2,61,59,-2
230020,Acarau,09/2020,2156,2333,177,34,47,13,41,43,2,-7,4,11
230020,Acarau,09/2021,2547,2705,158,109,121,12,84,95,11,25,26,1
230020,Acarau,09/2022,2916,3082,166,90,89,-1,72,73,1,18,16,-2
230020,Acarau,09/2023,3048,3214,166,93,94,1,122,125,3,-29,-31,-2
230020,Acarau,09/2024,3160,3342,182,118,118,0,78,77,-1,40,41,1
230020,Acarau,09/2025,3301,3481,180,113,114,1,101,102,1,12,12,0
230020,Acarau,10/2020,2169,2343,174,60,61,1,47,51,4,13,10,-3
230020,Acarau,10/2021,2728,2904,176,223,242,19,42,43,1,181,199,18
230020,Acarau,10/2022,2926,3090,164,106,105,-1,96,97,1,10,8,-2
230020,Acarau,10/2023,3059,3223,164,100,100,0,89,91,2,11,9,-2
230020,Acarau,10/2024,3177,3355,178,91,92,1,74,79,5,17,13,-4
230020,Acarau,10/2025,3335,3517,182,177,177,0,143,141,-2,34,36,2
230020,Acarau,11/2020,2215,2384,169,74,80,6,28,39,11,46,41,-5
230020,Acarau,11/2021,2807,2982,175,168,169,1,89,91,2,79,78,-1
230020,Acarau,11/2022,2960,3122,162,82,82,0,48,50,2,34,32,-2
230020,Acarau,11/2023,3048,3212,164,65,65,0,76,76,0,-11,-11,0
230020,Acarau,11/2024,3184,3362,178,63,63,0,56,56,0,7,7,0
230020,Acarau,11/2025,3346,3522,176,103,104,1,92,99,7,11,5,-6
230020,Acarau,12/2020,2211,2369,158,28,28,0,32,43,11,-4,-15,-11
230020,Acarau,12/2021,2740,2911,171,96,98,2,163,169,6,-67,-71,-4
230020,Acarau,12/2022,2936,3098,162,45,46,1,69,70,1,-24,-24,0
230020,Acarau,12/2023,3020,3185,165,53,55,2,81,82,1,-28,-27,1
230020,Acarau,12/2024,3178,3355,177,65,65,0,71,72,1,-6,-7,-1
230020,Acarau,12/2025,3339,3515,176,62,63,1,69,70,1,-7,-7,0
230030,Acopiara,01/2020,1599,1077,-522,24,25,1,25,29,4,-1,-4,-3
230030,Acopiara,01/2021,1621,1095,-526,23,26,3,14,14,0,9,12,3
230030,Acopiara,01/2022,1625,1115,-510,32,33,1,19,19,0,13,14,1
230030,Acopiara,01/2023,1755,1301,-454,49,51,2,24,25,1,25,26,1
230030,Acopiara,01/2024,1840,1395,-445,53,55,2,49,48,-1,4,7,3
230030,Acopiara,01/2025,1878,1445,-433,42,43,1,60,60,0,-18,-17,1
230030,Acopiara,01/2026,1908,1483,-425,85,85,0,35,35,0,50,50,0
230030,Acopiara,02/2020,1607,1088,-519,27,31,4,19,20,1,8,11,3
230030,Acopiara,02/2021,1624,1100,-524,28,31,3,25,26,1,3,5,2
230030,Acopiara,02/2022,1655,1189,-466,54,99,45,24,25,1,30,74,44
230030,Acopiara,02/2023,1785,1329,-456,54,57,3,24,29,5,30,28,-2
230030,Acopiara,02/2024,1848,1402,-446,34,35,1,26,28,2,8,7,-1
230030,Acopiara,02/2025,1877,1444,-433,42,42,0,43,43,0,-1,-1,0
230030,Acopiara,02/2026,1921,1499,-422,37,40,3,24,24,0,13,16,3
230030,Acopiara,03/2020,1616,1092,-524,22,22,0,13,18,5,9,4,-5
230030,Acopiara,03/2021,1634,1109,-525,25,27,2,15,18,3,10,9,-1
230030,Acopiara,03/2022,1658,1194,-464,29,31,2,26,26,0,3,5,2
230030,Acopiara,03/2023,1776,1320,-456,39,40,1,48,49,1,-9,-9,0
230030,Acopiara,03/2024,1864,1425,-439,46,53,7,30,30,0,16,23,7
230030,Acopiara,03/2025,1863,1430,-433,29,29,0,43,43,0,-14,-14,0
230030,Acopiara,03/2026,1918,1497,-421,32,33,1,35,35,0,-3,-2,1
230030,Acopiara,04/2020,1591,1067,-524,3,4,1,28,29,1,-25,-25,0
230030,Acopiara,04/2021,1645,1118,-527,23,24,1,12,15,3,11,9,-2
230030,Acopiara,04/2022,1658,1198,-460,21,26,5,21,22,1,0,4,4
